token	lemma	pos	onset	offset	entity	babelfy_id (iob)	link	TP	FP	FN	OCR	
.	.	PUNCT	334	334	.			 	 	 	 	
On	on	PRON	336	337	On			 	 	 	 	
en	en	ADP	339	340	en			 	 	 	 	
fixe	fixe	NOUN	342	345	fixe			 	 	 	 	
même	même	ADV	347	350	même			 	 	 	 	
l'	le	DET	352	353	l'			 	 	 	 	
échéance	échéance	NOUN	354	361	échéance	B-bn:00071001n	https://babelnet.org/synset?word=bn:00071001n&lang=FR&langTrans=DE	 	1	1	 	
à	à	ADP	363	363	à			 	 	 	 	
un	un	DET	365	366	un			 	 	 	 	
temps	temps	NOUN	368	372	temps	B-bn:00077270n	https://babelnet.org/synset?word=bn:00077270n&lang=FR&langTrans=DE	1	 	 	 	
très	très	ADV	374	377	très	B-bn:00116789r	https://babelnet.org/synset?word=bn:00116789r&lang=FR&langTrans=DE	1	 	 	 	
prochain	prochain	ADJ	379	386	prochain	B-bn:00097396a	https://babelnet.org/synset?word=bn:00097396a&lang=FR&langTrans=DE	1	 	 	 	
.	.	PUNCT	387	387	.			 	 	 	 	
Seulement	seulement	ADV	389	397	Seulement			 	 	 	 	
,	,	PUNCT	398	398	,			 	 	 	 	
les	le	DET	400	402	les			 	 	 	 	
nouvelles	nouveau	ADJ	404	412	nouvelles	B-bn:00071261n	https://babelnet.org/synset?word=bn:00071261n&lang=FR&langTrans=DE	 	1	 	 	
varient	varier	VERB	414	420	varient	B-bn:00082554v	https://babelnet.org/synset?word=bn:00082554v&lang=FR&langTrans=DE	1	 	 	 	
au	au	DET	422	423	au			 	 	 	 	
sujet	sujet	NOUN	425	429	sujet	B-bn:00022157n	https://babelnet.org/synset?word=bn:00022157n&lang=FR&langTrans=DE	 	1	1	 	
de	de	ADP	431	432	de			 	 	 	 	
l'	le	DET	434	435	l'			 	 	 	 	
importance	importance	NOUN	436	445	importance	B-bn:00046143n	https://babelnet.org/synset?word=bn:00046143n&lang=FR&langTrans=DE	1	 	 	 	
que	que	PRON	447	449	que			 	 	 	 	
doit	devoir	AUX	451	454	doit	B-bn:00091360v	https://babelnet.org/synset?word=bn:00091360v&lang=FR&langTrans=DE	 	1	1	 	
avoir	avoir	VERB	456	460	avoir	B-bn:00089240v	https://babelnet.org/synset?word=bn:00089240v&lang=FR&langTrans=DE	1	 	 	 	
ce	ce	DET	462	463	ce			 	 	 	 	
changement	changement	NOUN	465	474	changement	B-bn:00003125n	https://babelnet.org/synset?word=bn:00003125n&lang=FR&langTrans=DE	1	 	 	 	
.	.	PUNCT	475	475	.			 	 	 	 	
Selon	Selon	ADP	477	481	Selon			 	 	 	 	
quelques	quelque	DET	483	490	quelques			 	 	 	 	
personnes	personne	NOUN	492	500	personnes	B-bn:00046516n	https://babelnet.org/synset?word=bn:00046516n&lang=FR&langTrans=DE	1	 	 	 	
,	,	PUNCT	501	501	,			 	 	 	 	
il	il	PRON	503	504	il			 	 	 	 	
s'	si	PRON	506	507	s'			 	 	 	 	
agirait	agir	VERB	508	514	agirait	B-bn:00082285v	https://babelnet.org/synset?word=bn:00082285v&lang=FR&langTrans=DE	1	 	 	 	
seulement	seulement	ADV	516	524	seulement	B-bn:00116448r	https://babelnet.org/synset?word=bn:00116448r&lang=FR&langTrans=DE	1	 	 	 	
de	de	ADP	526	527	de			 	 	 	 	
mettre	mettre	VERB	529	534	mettre	B-bn:00090224v	https://babelnet.org/synset?word=bn:00090224v&lang=FR&langTrans=DE	1	 	 	 	
M.	monsieur	NOUN	536	537	M.	B-bn:00055346n	https://babelnet.org/synset?word=bn:00055346n&lang=FR&langTrans=DE	1	 	 	 	
Pinard	Pinard	PROPN	539	544	Pinard	B-bn:00063046n	https://babelnet.org/synset?word=bn:00063046n&lang=FR&langTrans=DE	 	1	1	 	
à	à	ADP	546	546	à			 	 	 	 	
la	le	DET	548	549	la			 	 	 	 	
place	place	NOUN	551	555	place	B-bn:00030098n	https://babelnet.org/synset?word=bn:00030098n&lang=FR&langTrans=DE	 	1	 	 	
de	de	ADP	557	558	de			 	 	 	 	
M.	monsieur	NOUN	560	561	M.	B-bn:00055346n	https://babelnet.org/synset?word=bn:00055346n&lang=FR&langTrans=DE	 	 	 	 	
Baroche	Baroche	PROPN	563	569	Baroche			 	 	 	 	
et	et	CCONJ	571	572	et			 	 	 	 	
M.	monsieur	NOUN	574	575	M.	B-bn:00055346n	https://babelnet.org/synset?word=bn:00055346n&lang=FR&langTrans=DE	1	 	 	 	
Baroche	Baroche	PROPN	577	583	Baroche			 	 	1	 	
,	,	PUNCT	584	584	,			 	 	 	 	
dans	dan	ADP	586	589	dans			 	 	 	 	
ce	ce	DET	591	592	ce			 	 	 	 	
cas	cas	NOUN	594	596	cas	B-bn:00016401n	https://babelnet.org/synset?word=bn:00016401n&lang=FR&langTrans=DE	1	 	 	 	
,	,	PUNCT	597	597	,			 	 	 	 	
remplacerait	remplacer	VERB	599	610	remplacerait	B-bn:00092816v	https://babelnet.org/synset?word=bn:00092816v&lang=FR&langTrans=DE	1	 	 	 	
M.	monsieur	NOUN	612	613	M.	B-bn:00055346n	https://babelnet.org/synset?word=bn:00055346n&lang=FR&langTrans=DE	1	 	 	 	
Pinard	pinard	ADJ	615	620	Pinard	B-bn:00063046n	https://babelnet.org/synset?word=bn:00063046n&lang=FR&langTrans=DE	 	1	1	 	
au	au	PRON	622	623	au			 	 	 	 	
ministère	ministère	NOUN	625	633	ministère	B-bn:00055178n	https://babelnet.org/synset?word=bn:00055178n&lang=FR&langTrans=DE	 	1	1	 	
de	de	ADP	635	636	de			 	 	 	 	
l'	le	DET	638	639	l'			 	 	1	 	
intérieur	intérieur	NOUN	640	648	intérieur	B-bn:00104728a	https://babelnet.org/synset?word=bn:00104728a&lang=FR&langTrans=DE	 	1	1	 	
.	.	PUNCT	649	649	.			 	 	 	 	
Cette	ce	DET	651	655	Cette			 	 	 	 	
modification	modification	NOUN	657	668	modification	B-bn:00001410n	https://babelnet.org/synset?word=bn:00001410n&lang=FR&langTrans=DE	1	 	 	 	
serait	être	AUX	670	675	serait	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=DE	 	1	 	 	
très	très	ADV	677	680	très	B-bn:00116789r	https://babelnet.org/synset?word=bn:00116789r&lang=FR&langTrans=DE	1	 	 	 	
importante	important	ADJ	682	691	importante	B-bn:00104680a	https://babelnet.org/synset?word=bn:00104680a&lang=FR&langTrans=DE	1	 	 	 	
au	au	DET	693	694	au			 	 	 	 	
point	point	NOUN	696	700	point	B-bn:00063237n	https://babelnet.org/synset?word=bn:00063237n&lang=FR&langTrans=DE	1	 	 	 	
de	de	ADP	702	703	de	I-bn:00063237n	https://babelnet.org/synset?word=bn:00063237n&lang=FR&langTrans=DE	1	 	 	 	
vue	vue	NOUN	705	707	vue	I-bn:00063237n	https://babelnet.org/synset?word=bn:00063237n&lang=FR&langTrans=DE	1	 	 	 	
de	de	ADP	709	710	de			 	 	 	 	
notre	notre	DET	712	716	notre			 	 	 	 	
organisation	organisation	NOUN	718	729	organisation	B-bn:00059480n	https://babelnet.org/synset?word=bn:00059480n&lang=FR&langTrans=DE	 	1	1	 	
constitutionnelle	constitutionnel	ADJ	731	747	constitutionnelle	B-bn:00098994a	https://babelnet.org/synset?word=bn:00098994a&lang=FR&langTrans=DE	 	1	1	 	
.	.	PUNCT	748	748	.			 	 	 	 	
M.	monsieur	NOUN	750	751	M.	B-bn:00055346n	https://babelnet.org/synset?word=bn:00055346n&lang=FR&langTrans=DE	1	 	 	 	
Rouher	Rouher	PROPN	753	758	Rouher	B-bn:01095044n	https://babelnet.org/synset?word=bn:01095044n&lang=FR&langTrans=DE	1	 	 	 	
cesserait	cesser	VERB	760	768	cesserait	B-bn:00084710v	https://babelnet.org/synset?word=bn:00084710v&lang=FR&langTrans=DE	1	 	 	 	
d'	de	ADP	770	771	d'			 	 	 	 	
être	être	AUX	772	775	être	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=DE	1	 	 	 	
ministre	ministre	NOUN	777	784	ministre	B-bn:00041200n	https://babelnet.org/synset?word=bn:00041200n&lang=FR&langTrans=DE	 	1	1	 	
d'	de	ADP	786	787	d'			 	1	1	 	
Etat	etat	NOUN	788	791	Etat	B-bn:00074010n	https://babelnet.org/synset?word=bn:00074010n&lang=FR&langTrans=DE	 	1	1	 	
et	et	CCONJ	793	794	et			 	 	 	 	
le	le	DET	796	797	le			 	 	1	 	
ministère	ministère	NOUN	799	807	ministère	B-bn:00055178n	https://babelnet.org/synset?word=bn:00055178n&lang=FR&langTrans=DE	 	1	1	 	
d'	de	ADP	809	810	d'			 	1	1	 	
Etat	etat	NOUN	811	814	Etat	B-bn:00074010n	https://babelnet.org/synset?word=bn:00074010n&lang=FR&langTrans=DE	 	1	1	 	
,	,	PUNCT	815	815	,			 	 	 	 	
par	par	ADP	817	819	par			 	1	1	 	
conséquent	conséquent	NOUN	821	830	conséquent	B-bn:03684159n	https://babelnet.org/synset?word=bn:03684159n&lang=FR&langTrans=DE	 	1	1	 	
,	,	PUNCT	831	831	,			 	 	 	 	
serait	être	AUX	833	838	serait	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=DE	 	1	1	 	
réduit	réduit	ADJ	840	845	réduit	B-bn:00084079v	https://babelnet.org/synset?word=bn:00084079v&lang=FR&langTrans=DE	1	 	 	 	
à	à	ADP	847	847	à			 	 	 	 	
ses	son	DET	849	851	ses			 	 	 	 	
vieilles	vieux	ADJ	853	860	vieilles	B-bn:00104306a	https://babelnet.org/synset?word=bn:00104306a&lang=FR&langTrans=DE	1	 	 	 	
attributions	attribution	NOUN	862	873	attributions	B-bn:00002910n	https://babelnet.org/synset?word=bn:00002910n&lang=FR&langTrans=DE	 	1	1	 	
.	.	PUNCT	874	874	.			 	 	 	 	
On	on	PRON	876	877	On			 	 	 	 	
rentrerait	rentrer	VERB	879	888	rentrerait	B-bn:00086301v	https://babelnet.org/synset?word=bn:00086301v&lang=FR&langTrans=DE	1	 	 	 	
ainsi	ainsi	ADV	890	894	ainsi	B-bn:00117048r	https://babelnet.org/synset?word=bn:00117048r&lang=FR&langTrans=DE	1	 	 	 	
dans	dan	ADP	896	899	dans			 	 	 	 	
le	le	DET	901	902	le			 	 	 	 	
régime	régime	NOUN	904	909	régime	B-bn:00066879n	https://babelnet.org/synset?word=bn:00066879n&lang=FR&langTrans=DE	 	1	1	 	
constitutionnel	constitutionnel	ADJ	911	925	constitutionnel	B-bn:00098994a	https://babelnet.org/synset?word=bn:00098994a&lang=FR&langTrans=DE	 	1	1	 	
ou	ou	CCONJ	927	928	ou			 	 	 	 	
plutôt	plutôt	ADV	930	935	plutôt	B-bn:00116064r	https://babelnet.org/synset?word=bn:00116064r&lang=FR&langTrans=DE	1	 	 	 	
dans	dan	ADP	937	940	dans			 	 	 	 	
une	un	DET	942	944	une			 	 	 	 	
sorte	sorte	NOUN	946	950	sorte	B-bn:00035907n	https://babelnet.org/synset?word=bn:00035907n&lang=FR&langTrans=DE	1	 	 	 	
de	de	ADP	952	953	de			 	 	 	 	
responsabilité	responsabilité	NOUN	955	968	responsabilité	B-bn:01989443n	https://babelnet.org/synset?word=bn:01989443n&lang=FR&langTrans=DE	1	 	 	 	
ministérielle	ministériel	NOUN	970	982	ministérielle	I-bn:01989443n	https://babelnet.org/synset?word=bn:01989443n&lang=FR&langTrans=DE	1	 	 	 	
effective	effectif	ADJ	984	992	effective	B-bn:00096397a	https://babelnet.org/synset?word=bn:00096397a&lang=FR&langTrans=DE	1	 	 	 	
.	.	PUNCT	993	993	.			 	 	 	 	
Selon	Selon	ADP	995	999	Selon			 	 	 	 	
une	un	DET	1001	1003	une			 	 	 	 	
autre	autre	ADJ	1005	1009	autre	B-bn:00101268a	https://babelnet.org/synset?word=bn:00101268a&lang=FR&langTrans=DE	 	1	 	 	
version	version	NOUN	1011	1017	version			 	 	 	 	
,	,	PUNCT	1018	1018	,			 	 	 	 	
M.	monsieur	NOUN	1020	1021	M.			 	 	1	 	
de	de	ADP	1023	1024	de			 	 	1	 	
Moustier	Moustier	PROPN	1026	1033	Moustier	B-bn:00823794n	https://babelnet.org/synset?word=bn:00823794n&lang=FR&langTrans=DE	 	1	1	 	
serait	être	AUX	1035	1040	serait	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=DE	1	 	 	 	
également	également	ADV	1042	1050	également	B-bn:00115274r	https://babelnet.org/synset?word=bn:00115274r&lang=FR&langTrans=DE	 	1	1	 	
remplacé	remplacer	VERB	1052	1059	remplacé	B-bn:00092816v	https://babelnet.org/synset?word=bn:00092816v&lang=FR&langTrans=DE	1	 	 	 	
et	et	CCONJ	1061	1062	et			 	 	 	 	
c'	ce	PRON	1064	1065	c'			 	 	 	 	
est	être	AUX	1066	1068	est			 	 	 	 	
M.	monsieur	NOUN	1070	1071	M.	B-bn:00055346n	https://babelnet.org/synset?word=bn:00055346n&lang=FR&langTrans=DE	1	 	 	 	
Drouyn	Drouyn	PROPN	1073	1078	Drouyn	B-bn:01036187n	https://babelnet.org/synset?word=bn:01036187n&lang=FR&langTrans=DE	1	 	 	 	
de	de	ADP	1080	1081	de	I-bn:01036187n	https://babelnet.org/synset?word=bn:01036187n&lang=FR&langTrans=DE	1	 	 	 	
Lhuys	Lhuys	PROPN	1083	1087	Lhuys	I-bn:01036187n	https://babelnet.org/synset?word=bn:01036187n&lang=FR&langTrans=DE	1	 	 	 	
qui	qui	PRON	1089	1091	qui			 	 	 	 	
lui	luire	PRON	1093	1095	lui			 	 	 	 	
succéderait	succéder	VERB	1097	1107	succéderait	B-bn:00084086v	https://babelnet.org/synset?word=bn:00084086v&lang=FR&langTrans=DE	 	 	 	 	
.	.	PUNCT	1108	1108	.			 	 	 	 	
Et	Et	CCONJ	1110	1111	Et			 	 	 	 	
à	à	ADP	1113	1113	à			 	 	 	 	
cet	ce	DET	1115	1117	cet			 	 	 	 	
avènement	avènement	NOUN	1119	1127	avènement	B-bn:00001565n	https://babelnet.org/synset?word=bn:00001565n&lang=FR&langTrans=DE	 	1	1	 	
de	de	ADP	1129	1130	de			 	 	 	 	
M.	monsieur	NOUN	1132	1133	M.			 	 	1	 	
Drouyn	Drouyn	PROPN	1135	1140	Drouyn	B-bn:01036187n	https://babelnet.org/synset?word=bn:01036187n&lang=FR&langTrans=DE	1	 	 	 	
de	de	ADP	1142	1143	de	I-bn:01036187n	https://babelnet.org/synset?word=bn:01036187n&lang=FR&langTrans=DE	1	 	 	 	
Lhuys	Lhuys	PROPN	1145	1149	Lhuys	I-bn:01036187n	https://babelnet.org/synset?word=bn:01036187n&lang=FR&langTrans=DE	1	 	 	 	
se	se	PRON	1151	1152	se			 	 	 	 	
rattacherait	rattacher	VERB	1154	1165	rattacherait	B-bn:00085624v	https://babelnet.org/synset?word=bn:00085624v&lang=FR&langTrans=DE	1	 	 	 	
la	le	DET	1167	1168	la			 	 	 	 	
grande	grand	ADJ	1170	1175	grande	B-bn:00111630a	https://babelnet.org/synset?word=bn:00111630a&lang=FR&langTrans=DE	 	1	1	 	
proposition	proposition	NOUN	1177	1187	proposition	B-bn:00064779n	https://babelnet.org/synset?word=bn:00064779n&lang=FR&langTrans=DE	1	 	 	 	
du	du	DET	1189	1190	du			 	 	 	 	
désarmement	désarmement	NOUN	1192	1202	désarmement	B-bn:00027435n	https://babelnet.org/synset?word=bn:00027435n&lang=FR&langTrans=DE	1	 	 	 	
dont	dont	PRON	1204	1207	dont			 	 	 	 	
je	il	PRON	1209	1210	je			 	 	 	 	
vous	vous	PRON	1212	1215	vous			 	 	 	 	
ai	avoir	AUX	1217	1218	ai	B-bn:00088733v	https://babelnet.org/synset?word=bn:00088733v&lang=FR&langTrans=DE	 	1	1	 	
parlé	parler	VERB	1220	1224	parlé	B-bn:00094090v	https://babelnet.org/synset?word=bn:00094090v&lang=FR&langTrans=DE	1	 	 	 	
.	.	PUNCT	1225	1225	.			 	 	 	 	
Oh	oh	PRON	1227	1228	Oh	B-bn:00013597n	https://babelnet.org/synset?word=bn:00013597n&lang=FR&langTrans=DE	 	 	 	1	
trouve	trouver	VERB	1230	1235	trouve	B-bn:00084231v	https://babelnet.org/synset?word=bn:00084231v&lang=FR&langTrans=DE	1	 	 	 	
que	que	SCONJ	1237	1239	que			 	 	 	 	
M.	monsieur	NOUN	1241	1242	M.	B-bn:00055346n	https://babelnet.org/synset?word=bn:00055346n&lang=FR&langTrans=DE	1	 	 	 	
Drouyn	Drouyn	X	1244	1249	Drouyn			 	 	 	1	
deLbuys	deLbuys	X	1251	1257	deLbuys			 	 	 	1	
a	avoir	AUX	1259	1259	a			 	 	 	 	
seul	seul	ADJ	1261	1264	seul	B-bn:00096872a	https://babelnet.org/synset?word=bn:00096872a&lang=FR&langTrans=DE	 	1	 	 	
assez	assez	ADV	1266	1270	assez	B-bn:00115313r	https://babelnet.org/synset?word=bn:00115313r&lang=FR&langTrans=DE	1	 	 	 	
d'	de	ADP	1272	1273	d'			 	 	 	 	
autorité	autorité	NOUN	1274	1281	autorité	B-bn:00007293n	https://babelnet.org/synset?word=bn:00007293n&lang=FR&langTrans=DE	1	 	 	 	
pour	pour	ADP	1283	1286	pour			 	 	 	 	
la	le	DET	1288	1289	la			 	 	 	 	
faire	faire	VERB	1291	1295	faire	B-bn:00087107v	https://babelnet.org/synset?word=bn:00087107v&lang=FR&langTrans=DE	1	 	 	 	
à	à	ADP	1297	1297	à			 	 	 	 	
l'	le	DET	1299	1300	l'			 	 	 	 	
Europe	Europe	PROPN	1301	1306	Europe	B-bn:00031896n	https://babelnet.org/synset?word=bn:00031896n&lang=FR&langTrans=DE	1	 	 	 	
et	et	CCONJ	1308	1309	et			 	 	 	 	
pour	pour	ADP	1311	1314	pour			 	 	 	 	
la	le	DET	1316	1317	la			 	 	 	 	
présenter	présenter	VERB	1319	1327	présenter	B-bn:00090234v	https://babelnet.org/synset?word=bn:00090234v&lang=FR&langTrans=DE	1	 	 	 	
convenablement	convenablement	ADV	1329	1342	convenablement	B-bn:00114324r	https://babelnet.org/synset?word=bn:00114324r&lang=FR&langTrans=DE	1	 	 	 	
.	.	PUNCT	1343	1343	.			 	 	 	 	
Naturellement	naturellement	ADV	1345	1357	Naturellement	B-bn:00057017n	https://babelnet.org/synset?word=bn:00057017n&lang=FR&langTrans=DE	 	1	1	 	
,	,	PUNCT	1358	1358	,			 	 	 	 	
si	si	SCONJ	1360	1361	si			 	 	 	 	
celte	celte	NOUN	1363	1367	celte			 	 	 	 	
proposition	proposition	NOUN	1369	1379	proposition	B-bn:00064779n	https://babelnet.org/synset?word=bn:00064779n&lang=FR&langTrans=DE	 	1	1	 	
échouait	échouer	VERB	1381	1388	échouait	B-bn:00089072v	https://babelnet.org/synset?word=bn:00089072v&lang=FR&langTrans=DE	 	1	1	 	
ce	ce	PRON	1390	1391	ce			 	 	 	 	
serait	être	AUX	1393	1398	serait	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=DE	1	 	 	 	
la	le	DET	1400	1401	la			 	 	 	 	
guerre	guerre	NOUN	1403	1408	guerre	B-bn:00080439n	https://babelnet.org/synset?word=bn:00080439n&lang=FR&langTrans=DE	1	 	 	 	
,	,	PUNCT	1409	1409	,			 	 	 	 	
et	et	CCONJ	1411	1412	et			 	 	 	 	
M.	monsieur	NOUN	1414	1415	M.			 	 	1	 	
Drouyn	Drouyn	PROPN	1417	1422	Drouyn	B-bn:01036187n	https://babelnet.org/synset?word=bn:01036187n&lang=FR&langTrans=DE	1	 	 	 	
de	de	ADP	1424	1425	de	I-bn:01036187n	https://babelnet.org/synset?word=bn:01036187n&lang=FR&langTrans=DE	1	 	 	 	
Lhuys	Lhuys	PROPN	1427	1431	Lhuys	I-bn:01036187n	https://babelnet.org/synset?word=bn:01036187n&lang=FR&langTrans=DE	1	 	 	 	
serait	être	AUX	1433	1438	serait	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=DE	 	1	1	 	
également	également	ADV	1440	1448	également	B-bn:00115274r	https://babelnet.org/synset?word=bn:00115274r&lang=FR&langTrans=DE	1	 	 	 	
l'	le	DET	1450	1451	l'			 	 	 	 	
homme	homme	NOUN	1452	1456	homme	B-bn:00044576n	https://babelnet.org/synset?word=bn:00044576n&lang=FR&langTrans=DE	1	 	 	 	
de	de	ADP	1458	1459	de			 	 	 	 	
cette	ce	DET	1461	1465	cette			 	 	 	 	
situation	situation	NOUN	1467	1475	situation	B-bn:00071869n	https://babelnet.org/synset?word=bn:00071869n&lang=FR&langTrans=DE	1	 	 	 	
.	.	PUNCT	1476	1476	.			 	 	 	 	
On	on	PRON	1478	1479	On			 	 	 	 	
dit	dire	VERB	1481	1483	dit	B-bn:00093287v	https://babelnet.org/synset?word=bn:00093287v&lang=FR&langTrans=DE	1	 	 	 	
encore	encore	ADV	1485	1490	encore	B-bn:00114171r	https://babelnet.org/synset?word=bn:00114171r&lang=FR&langTrans=DE	 	1	1	 	
.	.	PUNCT	1491	1491	.			 	 	 	 	
que	que	SCONJ	1493	1495	que			 	 	 	 	
le	le	DET	1497	1498	le			 	 	 	 	
général	général	NOUN	1500	1506	général	B-bn:00037663n	https://babelnet.org/synset?word=bn:00037663n&lang=FR&langTrans=DE	 	1	1	 	
Fleury	Fleury	PROPN	1508	1513	Fleury			 	 	1	 	
se	se	PRON	1515	1516	se			 	 	 	 	
dispose	disposer	VERB	1518	1524	dispose	B-bn:00082778v	https://babelnet.org/synset?word=bn:00082778v&lang=FR&langTrans=DE	1	 	 	 	
à	à	ADP	1526	1526	à			 	 	 	 	
partir	partir	VERB	1528	1533	partir	B-bn:00088939v	https://babelnet.org/synset?word=bn:00088939v&lang=FR&langTrans=DE	1	 	 	 	
pour	pour	ADP	1535	1538	pour			 	 	 	 	
Copenhague	Copenhague	PROPN	1540	1549	Copenhague	B-bn:00022479n	https://babelnet.org/synset?word=bn:00022479n&lang=FR&langTrans=DE	1	 	 	 	
,	,	PUNCT	1550	1550	,			 	 	 	 	
ce	ce	PRON	1552	1553	ce			 	 	 	 	
qui	qui	PRON	1555	1557	qui			 	 	 	 	
