token	lemma	pos	onset	offset	entity	bablefy_id (iob)	link	TP_MERGE	FP_MERGE	FN_MERGE	OCR_MERGE
des	un	DET	306	308							
explications	explication	NOUN	310	321	explications	B-bn:00000741n	https://babelnet.org/synset?word=bn:00000741n&lang=FR&langTrans=EN	1			
sur	sur	ADP	323	325							
les	le	DET	327	329							
objets	objet	NOUN	331	336	objets	B-bn:00058442n	https://babelnet.org/synset?word=bn:00058442n&lang=FR&langTrans=EN	1			
qui	qui	PRON	338	340							
lui	luire	PRON	342	344							
manquent	manquer	VERB	346	353	manquent	B-bn:00090161v	https://babelnet.org/synset?word=bn:00090161v&lang=FR&langTrans=EN	1			
.	.	PUNCT	354	354							
—	--	PUNCT	356	356							
Genève	Genève	PROPN	358	363						1	
se	se	PRON	365	366							
trouve	trouver	AUX	368	373	trouve	B-bn:00084231v	https://babelnet.org/synset?word=bn:00084231v&lang=FR&langTrans=EN	1			
embarrassé	embarrasser	VERB	375	384	embarrassé	B-bn:00083622v	https://babelnet.org/synset?word=bn:00083622v&lang=FR&langTrans=EN		1	1	
de	de	ADP	386	387							
sa	son	DET	389	390							
compagnie	compagnie	NOUN	392	400	compagnie	B-bn:00021287n	https://babelnet.org/synset?word=bn:00021287n&lang=FR&langTrans=EN	1			
de	de	ADP	402	403							
cavalerie	cavalerie	NOUN	405	413	cavalerie	B-bn:00016873n	https://babelnet.org/synset?word=bn:00016873n&lang=FR&langTrans=EN	1			
,	,	PUNCT	414	414							
car	car	CCONJ	416	418							
on	on	PRON	420	421							
n'	ne	ADV	423	424							
aime	aimer	ADV	425	428	aime	B-bn:00090504v	https://babelnet.org/synset?word=bn:00090504v&lang=FR&langTrans=EN	1			
pas	pas	ADV	430	432							
monter	monter	VERB	434	439	monter	B-bn:00083708v	https://babelnet.org/synset?word=bn:00083708v&lang=FR&langTrans=EN	1			
à	à	ADP	441	441							
cheval	cheval	NOUN	443	448	cheval	B-bn:00031345n	https://babelnet.org/synset?word=bn:00031345n&lang=FR&langTrans=EN	1			
dans	dan	ADP	450	453							
le	le	DET	455	456							
canton	canton	NOUN	458	463	canton	B-bn:02290478n	https://babelnet.org/synset?word=bn:02290478n&lang=FR&langTrans=EN	1			
de	de	ADP	465	466	de	I-bn:02290478n	https://babelnet.org/synset?word=bn:02290478n&lang=FR&langTrans=EN	1			
Genève	Genève	PROPN	468	473	Genève	I-bn:02290478n	https://babelnet.org/synset?word=bn:02290478n&lang=FR&langTrans=EN	1			
.	.	PUNCT	474	474							
Le	le	DET	476	477							
député	député	NOUN	479	484	député	B-bn:00026425n	https://babelnet.org/synset?word=bn:00026425n&lang=FR&langTrans=EN	1			
voudrait	vouloir	AUX	486	493	voudrait	B-bn:00086682v	https://babelnet.org/synset?word=bn:00086682v&lang=FR&langTrans=EN	1			
inviter	inviter	VERB	495	501	inviter	B-bn:00084416v	https://babelnet.org/synset?word=bn:00084416v&lang=FR&langTrans=EN	1			
l'	le	DET	503	504							
assemblée	assemblée	NOUN	505	513	assemblée	B-bn:00216949n	https://babelnet.org/synset?word=bn:00216949n&lang=FR&langTrans=EN		1	1	
à	à	ADP	515	515							
échanger	échanger	VERB	517	524	échanger	B-bn:00087802v	https://babelnet.org/synset?word=bn:00087802v&lang=FR&langTrans=EN	1			
celte	celte	NOUN	526	530						1	
compagnie	compagnie	NOUN	532	540	compagnie	B-bn:00021287n	https://babelnet.org/synset?word=bn:00021287n&lang=FR&langTrans=EN	1			
de	de	ADP	542	543							
cavalerie	cavalerie	NOUN	545	553	cavalerie	B-bn:00016873n	https://babelnet.org/synset?word=bn:00016873n&lang=FR&langTrans=EN	1			
contre	contrer	ADP	555	560							
une	un	DET	562	564							
compagnie	compagnie	NOUN	566	574	compagnie	B-bn:00021287n	https://babelnet.org/synset?word=bn:00021287n&lang=FR&langTrans=EN	1			
de	de	ADP	576	577							
carabiniers	carabinier	NOUN	579	589	carabiniers	B-bn:00015808n	https://babelnet.org/synset?word=bn:00015808n&lang=FR&langTrans=EN	1			
et	et	CCONJ	591	592							
deux	deux	NUM	594	597							
pièces	pièce	NOUN	599	604	pièces	B-bn:00020497n	https://babelnet.org/synset?word=bn:00020497n&lang=FR&langTrans=EN		1	1	
du	du	DET	606	607							
contingent	contingent	NOUN	609	618	contingent	B-bn:01444232n	https://babelnet.org/synset?word=bn:01444232n&lang=FR&langTrans=EN		1	1	
.	.	PUNCT	619	619							
Il	il	PRON	621	622							
est	être	AUX	624	626	est	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
décidé	décider	VERB	628	633	décidé	B-bn:00086370v	https://babelnet.org/synset?word=bn:00086370v&lang=FR&langTrans=EN	1			
que	que	SCONJ	635	637							
les	le	DET	639	641							
Etats	etat	NOUN	643	647	Etats	B-bn:00074010n	https://babelnet.org/synset?word=bn:00074010n&lang=FR&langTrans=EN	1			
en	en	ADP	649	650							
relard	relard	ADV	652	657						1	1
seront	être	AUX	659	664						1	
invités	inviter	VERB	666	672							
à	à	ADP	674	674							
se	se	PRON	676	677							
procurer	procurer	VERB	679	686	procurer	B-bn:00091124v	https://babelnet.org/synset?word=bn:00091124v&lang=FR&langTrans=EN	1			
,	,	PUNCT	687	687							
dans	dan	ADP	689	692							
le	le	DET	694	695							
plus	plus	ADV	697	700	plus	B-bn:00115880r	https://babelnet.org/synset?word=bn:00115880r&lang=FR&langTrans=EN			1	
bref	bref	ADV	702	705	bref	B-bn:00110561a	https://babelnet.org/synset?word=bn:00110561a&lang=FR&langTrans=EN	1			
délai	délai	NOUN	707	711	délai	B-bn:00077289n	https://babelnet.org/synset?word=bn:00077289n&lang=FR&langTrans=EN	1			
possible	possible	ADJ	713	720	possible	B-bn:00108829a	https://babelnet.org/synset?word=bn:00108829a&lang=FR&langTrans=EN	1			
,	,	PUNCT	721	721							
les	le	DET	723	725							
objets	objet	NOUN	727	732	objets	B-bn:00058442n	https://babelnet.org/synset?word=bn:00058442n&lang=FR&langTrans=EN	1			
qui	qui	PRON	734	736							
leur	lui	PRON	738	741							
manquent	manquer	VERB	743	750	manquent	B-bn:00090161v	https://babelnet.org/synset?word=bn:00090161v&lang=FR&langTrans=EN	1			
pour	pour	ADP	752	755							
compléter	compléter	VERB	757	765	compléter	B-bn:00094607v	https://babelnet.org/synset?word=bn:00094607v&lang=FR&langTrans=EN	1			
leurs	leur	DET	767	771							
conlingens	conlingen	NOUN	773	782						1	1
respectifs	respectif	ADJ	784	793	respectifs	B-bn:00109740a	https://babelnet.org/synset?word=bn:00109740a&lang=FR&langTrans=EN	1			
.	.	PUNCT	794	794							
Ensuite	ensuite	ADV	796	802						1	
de	de	ADP	804	805							
l'	le	DET	807	808							
arrêté	arrêté	NOUN	809	814	arrêté	B-bn:00084710v	https://babelnet.org/synset?word=bn:00084710v&lang=FR&langTrans=EN		1	1	
de	de	ADP	816	817							
la	le	DET	819	820							
Diète	diète	NOUN	822	826	Diète	B-bn:00027012n	https://babelnet.org/synset?word=bn:00027012n&lang=FR&langTrans=EN	1			
,	,	PUNCT	827	827							
le	le	DET	829	830							
conseil	conseil	NOUN	832	838	conseil	B-bn:00023134n	https://babelnet.org/synset?word=bn:00023134n&lang=FR&langTrans=EN		1	1	
fédéral	fédéral	ADJ	840	846	fédéral	B-bn:00102871a	https://babelnet.org/synset?word=bn:00102871a&lang=FR&langTrans=EN	1			
de	de	ADP	848	849							
la	le	DET	851	852							
guerre	guerre	NOUN	854	859	guerre	B-bn:00080439n	https://babelnet.org/synset?word=bn:00080439n&lang=FR&langTrans=EN	1			
a	avoir	AUX	861	861							
ordonné	ordonner	VERB	863	869	ordonné	B-bn:00086778v	https://babelnet.org/synset?word=bn:00086778v&lang=FR&langTrans=EN	1			
une	un	DET	871	873							
nouvelle	nouveau	ADJ	875	882	nouvelle	B-bn:00107267a	https://babelnet.org/synset?word=bn:00107267a&lang=FR&langTrans=EN	1			
inspection	inspection	NOUN	884	893	inspection	B-bn:00046920n	https://babelnet.org/synset?word=bn:00046920n&lang=FR&langTrans=EN	1			
du	du	DET	895	896							
contingent	contingent	NOUN	898	907	contingent	B-bn:01444232n	https://babelnet.org/synset?word=bn:01444232n&lang=FR&langTrans=EN		1	1	
d	d	NOUN	909	909							
'	'	PUNCT	910	911							
Appenzell	Appenzell	PROPN	913	921						1	
-	-	PUNCT	922	922							
inlérieur	inlérieur	NOUN	923	931						1	1
,	,	PUNCT	932	932							
mission	mission	NOUN	934	940	mission	B-bn:00055325n	https://babelnet.org/synset?word=bn:00055325n&lang=FR&langTrans=EN		1	1	
qui	qui	PRON	942	944							
a	avoir	AUX	946	946							
été	être	AUX	948	950	été	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
confiée	confier	VERB	952	958						1	
à	à	ADP	960	960							
M.	monsieur	NOUN	962	963	M.	B-bn:00055346n	https://babelnet.org/synset?word=bn:00055346n&lang=FR&langTrans=EN	1			
le	le	DET	965	966							
colonel	colonel	NOUN	968	974	colonel	B-bn:00020706n	https://babelnet.org/synset?word=bn:00020706n&lang=FR&langTrans=EN		1	1	
fédéral	fédéral	ADJ	976	982	fédéral	B-bn:00102871a	https://babelnet.org/synset?word=bn:00102871a&lang=FR&langTrans=EN	1			
Egloff	Egloff	PROPN	984	989	Egloff	B-bn:17235888n	https://babelnet.org/synset?word=bn:17235888n&lang=FR&langTrans=EN		1	1	
.	.	PUNCT	990	990							
Quant	quant	ADV	992	996							
aux	aux	DET	998	1000							
réclamations	réclamater	VERB	1002	1013	réclamations	B-bn:00019403n	https://babelnet.org/synset?word=bn:00019403n&lang=FR&langTrans=EN	1			
que	que	SCONJ	1015	1017							
les	le	DET	1019	1021							
Etals	etal	NOUN	1023	1027						1	1
des	un	ADP	1029	1031							
Grisons	grison	NOUN	1033	1039	Grisons	B-bn:00938653n	https://babelnet.org/synset?word=bn:00938653n&lang=FR&langTrans=EN	1			
et	et	CCONJ	1041	1042							
du	du	DET	1044	1045							
Tessin	Tessin	PROPN	1047	1052	Tessin	B-bn:00076646n	https://babelnet.org/synset?word=bn:00076646n&lang=FR&langTrans=EN	1			
ont	avoir	AUX	1054	1056	ont	B-bn:00088733v	https://babelnet.org/synset?word=bn:00088733v&lang=FR&langTrans=EN	1			
élevées	élevé	ADJ	1058	1064						1	
contre	contrer	ADP	1066	1071							
la	le	DET	1073	1074							
surveillance	surveillance	NOUN	1076	1087	surveillance	B-bn:00075427n	https://babelnet.org/synset?word=bn:00075427n&lang=FR&langTrans=EN	1			
de	de	ADP	1089	1090							
leurs	leur	DET	1092	1096							
conlingens	conlingen	NOUN	1098	1107						1	1
,	,	PUNCT	1108	1108							
la	le	DET	1110	1111							
Diète	diète	NOUN	1113	1117	Diète	B-bn:00027012n	https://babelnet.org/synset?word=bn:00027012n&lang=FR&langTrans=EN	1			
attend	attendre	VERB	1119	1124	attend	B-bn:00089401v	https://babelnet.org/synset?word=bn:00089401v&lang=FR&langTrans=EN	1			
de	de	ADP	1126	1127							
la	le	DET	1129	1130							
part	part	NOUN	1132	1135	part	B-bn:00060766n	https://babelnet.org/synset?word=bn:00060766n&lang=FR&langTrans=EN	1			
du	du	DET	1137	1138							
conseil	conseil	NOUN	1140	1146	conseil	B-bn:00023134n	https://babelnet.org/synset?word=bn:00023134n&lang=FR&langTrans=EN		1	1	
fédéral	fédéral	ADJ	1148	1154	fédéral	B-bn:00102871a	https://babelnet.org/synset?word=bn:00102871a&lang=FR&langTrans=EN	1			
de	de	ADP	1156	1157							
la	le	DET	1159	1160							
guerre	guerre	NOUN	1162	1167	guerre	B-bn:00080439n	https://babelnet.org/synset?word=bn:00080439n&lang=FR&langTrans=EN	1			
un	un	DET	1169	1170							
rapport	rapport	NOUN	1172	1178	rapport	B-bn:00067181n	https://babelnet.org/synset?word=bn:00067181n&lang=FR&langTrans=EN	1			
qui	qui	PRON	1180	1182							
n'	ne	ADV	1184	1185							
a	avoir	AUX	1186	1186							
pas	pas	ADV	1188	1190	pas	B-bn:13692440r	https://babelnet.org/synset?word=bn:13692440r&lang=FR&langTrans=EN	1			
encore	encore	ADV	1192	1197	encore	I-bn:13692440r	https://babelnet.org/synset?word=bn:13692440r&lang=FR&langTrans=EN	1			
paru	paraître	VERB	1199	1202						1	
.	.	PUNCT	1203	1203							
Fusées	fusée	NOUN	1205	1210	Fusées	B-bn:00012163n	https://babelnet.org/synset?word=bn:00012163n&lang=FR&langTrans=EN	1			
de	de	ADP	1212	1213							
guerre	guerre	NOUN	1215	1220	guerre	B-bn:00080439n	https://babelnet.org/synset?word=bn:00080439n&lang=FR&langTrans=EN	1			
.	.	PUNCT	1221	1221							
—	--	PUNCT	1223	1223							
Le	le	DET	1225	1226							
conseil	conseil	NOUN	1228	1234	conseil	B-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
de	de	ADP	1236	1237	de	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
la	le	DET	1239	1240	la	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
guerre	guerre	NOUN	1242	1247	guerre	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
ne	ne	ADV	1249	1250							
peut	pouvoir	AUX	1252	1255	peut	B-bn:13601970v	https://babelnet.org/synset?word=bn:13601970v&lang=FR&langTrans=EN	1			
encore	encore	ADV	1257	1262	encore	B-bn:00114171r	https://babelnet.org/synset?word=bn:00114171r&lang=FR&langTrans=EN	1			
présenter	présenter	VERB	1264	1272	présenter	B-bn:00090234v	https://babelnet.org/synset?word=bn:00090234v&lang=FR&langTrans=EN	1			
un	un	DET	1274	1275							
rapport	rapport	NOUN	1277	1283	rapport	B-bn:00067181n	https://babelnet.org/synset?word=bn:00067181n&lang=FR&langTrans=EN	1			
sur	sur	ADP	1285	1287							
cet	ce	DET	1289	1291							
objet	objet	NOUN	1293	1297	objet	B-bn:00058442n	https://babelnet.org/synset?word=bn:00058442n&lang=FR&langTrans=EN	1			
,	,	PUNCT	1298	1298							
attendu	attendre	VERB	1300	1306	attendu	B-bn:00089401v	https://babelnet.org/synset?word=bn:00089401v&lang=FR&langTrans=EN	1			
que	que	SCONJ	1308	1310							
M.	monsieur	NOUN	1312	1313						1	
Pictet	Pictet	PROPN	1315	1320						1	
est	être	AUX	1322	1324	est	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
retenu	retenir	VERB	1326	1331	retenu	B-bn:00089400v	https://babelnet.org/synset?word=bn:00089400v&lang=FR&langTrans=EN	1			
en	en	ADP	1333	1334							
Italie	Italie	PROPN	1336	1341	Italie	B-bn:00047705n	https://babelnet.org/synset?word=bn:00047705n&lang=FR&langTrans=EN	1			
par	par	ADP	1343	1345							
les	le	DET	1347	1349							
.	.	PUNCT	1350	1350							
éyénemens	éyénemen	NOUN	1352	1360						1	1
qui	qui	PRON	1362	1364							
se	se	PRON	1366	1367							
passent	passer	VERB	1369	1375	passent	B-bn:00091458v	https://babelnet.org/synset?word=bn:00091458v&lang=FR&langTrans=EN	1			
dans	dan	ADP	1377	1380							
ce	ce	DET	1382	1383							
pays	pays	NOUN	1385	1388	pays	B-bn:00023235n	https://babelnet.org/synset?word=bn:00023235n&lang=FR&langTrans=EN		1	1	
.	.	PUNCT	1389	1389							
Quant	quant	ADV	1391	1395							
aux	aux	ADP	1397	1399							
frais	frais	NOUN	1401	1405	frais	B-bn:00074577n	https://babelnet.org/synset?word=bn:00074577n&lang=FR&langTrans=EN		1	1	
nécessaires	nécessaire	ADJ	1407	1417	nécessaires	B-bn:00107182a	https://babelnet.org/synset?word=bn:00107182a&lang=FR&langTrans=EN	1			
pour	pour	ADP	1419	1422							
l'	le	DET	1424	1425							
acquisition	acquisition	NOUN	1426	1436	acquisition	B-bn:00001005n	https://babelnet.org/synset?word=bn:00001005n&lang=FR&langTrans=EN	1			
de	de	ADP	1438	1439							
		PUNCT	1440	1440							
machines	machine	NOUN	1442	1449	machines	B-bn:00052556n	https://babelnet.org/synset?word=bn:00052556n&lang=FR&langTrans=EN	1			
et	et	CCONJ	1451	1452							
d'	de	ADP	1454	1455							
oulds	ould	NOUN	1456	1460						1	1
,	,	PUNCT	1461	1461							
on	on	PRON	1463	1464							
s'	si	PRON	1466	1467							
en	en	PRON	1468	1469							
occupera	occuper	VERB	1471	1478	occupera	B-bn:00090437v	https://babelnet.org/synset?word=bn:00090437v&lang=FR&langTrans=EN		1	1	
lors	lors	ADV	1480	1483	lors	B-bn:00117250r	https://babelnet.org/synset?word=bn:00117250r&lang=FR&langTrans=EN	1			
de	de	ADP	1485	1486							
la	le	DET	1488	1489							
discussion	discussion	NOUN	1491	1500	discussion	B-bn:00027544n	https://babelnet.org/synset?word=bn:00027544n&lang=FR&langTrans=EN	1			
du	du	DET	1502	1503							
budget	budget	NOUN	1505	1510	budget	B-bn:00013640n	https://babelnet.org/synset?word=bn:00013640n&lang=FR&langTrans=EN	1			
.	.	PUNCT	1511	1511							
Système	système	NOUN	1513	1519	Système	B-bn:00075760n	https://babelnet.org/synset?word=bn:00075760n&lang=FR&langTrans=EN		1	1	
à	à	ADP	1521	1521							
percussion	percussion	NOUN	1523	1532	percussion	B-bn:00061531n	https://babelnet.org/synset?word=bn:00061531n&lang=FR&langTrans=EN		1	1	
.	.	PUNCT	1533	1533							
—	--	PUNCT	1535	1535							
Le	le	DET	1537	1538							
Directoire	directoire	NOUN	1540	1549						1	
estime	estimer	VERB	1551	1556	estime	B-bn:00082743v	https://babelnet.org/synset?word=bn:00082743v&lang=FR&langTrans=EN	1			
qu'	que	SCONJ	1558	1560							
il	il	PRON	1561	1562							
est	être	AUX	1564	1566	est	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
de	de	ADP	1568	1569							
son	son	DET	1571	1573							
devoir	devoir	AUX	1575	1580	devoir	B-bn:00029239n	https://babelnet.org/synset?word=bn:00029239n&lang=FR&langTrans=EN	1			
d'	de	ADP	1582	1583							
inviter	inviter	VERB	1584	1590	inviter	B-bn:00084416v	https://babelnet.org/synset?word=bn:00084416v&lang=FR&langTrans=EN	1			
les	le	DET	1592	1594							
cantons	canton	NOUN	1596	1602	cantons	B-bn:00077775n	https://babelnet.org/synset?word=bn:00077775n&lang=FR&langTrans=EN		1	1	
en	en	ADP	1604	1605							
retard	retard	NOUN	1607	1612	retard	B-bn:00050129n	https://babelnet.org/synset?word=bn:00050129n&lang=FR&langTrans=EN	1			
à	à	ADP	1614	1614							
accélérer	accélérer	VERB	1616	1624	accélérer	B-bn:00082193v	https://babelnet.org/synset?word=bn:00082193v&lang=FR&langTrans=EN	1			
autant	autant	ADV	1626	1631	autant	B-bn:00114358r	https://babelnet.org/synset?word=bn:00114358r&lang=FR&langTrans=EN	1			
que	que	SCONJ	1633	1635	que	I-bn:00114358r	https://babelnet.org/synset?word=bn:00114358r&lang=FR&langTrans=EN	1			
possible	possible	ADJ	1637	1644	possible	I-bn:00114358r	https://babelnet.org/synset?word=bn:00114358r&lang=FR&langTrans=EN	1			
la	le	DET	1646	1647							
transformation	transformation	NOUN	1649	1662	transformation	B-bn:00077991n	https://babelnet.org/synset?word=bn:00077991n&lang=FR&langTrans=EN		1	1	
prescrite	prescrit	ADJ	1664	1672							
des	un	DET	1674	1676							
armes	arme	NOUN	1678	1682	armes	B-bn:00005704n	https://babelnet.org/synset?word=bn:00005704n&lang=FR&langTrans=EN	1			
à	à	ADP	1684	1684							
silex	silex	NOUN	1686	1690	silex	B-bn:00035240n	https://babelnet.org/synset?word=bn:00035240n&lang=FR&langTrans=EN		1	1	
.	.	PUNCT	1691	1691							
Celte	celte	NOUN	1693	1697	Celte	B-bn:00017070n	https://babelnet.org/synset?word=bn:00017070n&lang=FR&langTrans=EN		1	1	1
invitation	invitation	NOUN	1699	1708	invitation	B-bn:00047375n	https://babelnet.org/synset?word=bn:00047375n&lang=FR&langTrans=EN	1			
est	être	AUX	1710	1712	est	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
votée	voter	VERB	1714	1718						1	
à	à	ADP	1720	1720							
l'	le	DET	1722	1723							
unanimité	unanimité	NOUN	1724	1732	unanimité	B-bn:00078939n	https://babelnet.org/synset?word=bn:00078939n&lang=FR&langTrans=EN	1			
.	.	PUNCT	1733	1733							
Un	un	DET	1735	1736							
aperçu	aperçu	NOUN	1738	1743	aperçu	B-bn:03727451n	https://babelnet.org/synset?word=bn:03727451n&lang=FR&langTrans=EN		1	1	
du	du	DET	1745	1746							
conseil	conseil	NOUN	1748	1754	conseil	B-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
de	de	ADP	1756	1757	de	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
la	le	DET	1759	1760	la	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
guerre	guerre	NOUN	1762	1767	guerre	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
sur	sur	ADP	1769	1771							
l'	le	DET	1773	1774							
emploi	emploi	NOUN	1775	1780	emploi	B-bn:00030616n	https://babelnet.org/synset?word=bn:00030616n&lang=FR&langTrans=EN	1			
des	un	DET	1782	1784							
fonds	fonds	NOUN	1786	1790	fonds	B-bn:00012365n	https://babelnet.org/synset?word=bn:00012365n&lang=FR&langTrans=EN		1	1	
qui	qui	PRON	1792	1794							
lui	luire	PRON	1796	1798							
ont	avoir	AUX	1800	1802	ont	B-bn:00088733v	https://babelnet.org/synset?word=bn:00088733v&lang=FR&langTrans=EN	1			
été	être	AUX	1804	1806	été	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
alloués	allouer	VERB	1808	1814						1	
pour	pour	ADP	1816	1819							
l'	le	DET	1821	1822							
introduction	introduction	NOUN	1823	1834	introduction	B-bn:00050344n	https://babelnet.org/synset?word=bn:00050344n&lang=FR&langTrans=EN		1	1	
du	du	DET	1836	1837							
système	système	NOUN	1839	1845	système	B-bn:00075760n	https://babelnet.org/synset?word=bn:00075760n&lang=FR&langTrans=EN		1	1	
à	à	ADP	1847	1847							
percussion	percussion	NOUN	1849	1858	percussion	B-bn:00061531n	https://babelnet.org/synset?word=bn:00061531n&lang=FR&langTrans=EN		1	1	
,	,	PUNCT	1859	1859							
est	être	AUX	1861	1863	est	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
renvoyé	renvoyer	VERB	1865	1871	renvoyé	B-bn:00088506v	https://babelnet.org/synset?word=bn:00088506v&lang=FR&langTrans=EN	1			
a	avoir	AUX	1873	1873						1	
la	le	DET	1875	1876							
cpinmissipn	cpinmissipn	NOUN	1878	1888						1	1
chargée	charger	VERB	1890	1896						1	
d'	de	ADP	1898	1899							
