token	lemma	pos	onset	offset	entity	babelfy_id	link_to_synset	TP	FP	FN	OCR	FN and OCR
schrieb	schreiben	VERB	11	17	schrieb	B-bn:00095847v	https://babelnet.org/synset?word=bn:00095847v&lang=DE&langTrans=DE	1				0
der	der	DET	19	21								0
Engländer	Engländer	NOUN	23	31	Engländer	B-bn:00030863n	https://babelnet.org/synset?word=bn:00030863n&lang=DE&langTrans=DE		1	1		0
Robert	Robert	PROPN	33	38	Robert	B-bn:02742903n	https://babelnet.org/synset?word=bn:02742903n&lang=DE&langTrans=DE		1	1		0
Hoole	Hoole	PROPN	40	44						1	1	1
es	ich	PRON	0	1								0
sollte	sollen	VERB	3	8	sollte	B-bn:13655464v	https://babelnet.org/synset?word=bn:13655464v&lang=DE&langTrans=DE	1				0
möglich	möglich	ADJ	10	16	möglich	B-bn:00108829a	https://babelnet.org/synset?word=bn:00108829a&lang=DE&langTrans=DE	1				0
sein	mein	AUX	18	21								0
wie	wie	CONJ	23	25								0
die	der	DET	27	29								0
Seidenraupe	Seidenraupe	NOUN	31	41	Seidenraupe	B-bn:00040408n	https://babelnet.org/synset?word=bn:00040408n&lang=DE&langTrans=DE	1				0
eine	einen	PART	43	46								0
Elebrige	Elebrige	ADJ	0	7						1	1	1
Flüssigkeit	Flüssigkeit	NOUN	9	19	Flüssigkeit	B-bn:00051491n	https://babelnet.org/synset?word=bn:00051491n&lang=DE&langTrans=DE	1				0
durch	durch	ADP	21	25								0
eine	einen	DET	27	30								0
keine	kein	DET	32	36						1	1	1
Oeffnung	Oeffnung	NOUN	38	45						1		0
zu	zu	PART	47	48								0
pressen	pressen	VERB	0	6	pressen	B-bn:00091988v	https://babelnet.org/synset?word=bn:00091988v&lang=DE&langTrans=DE	1				0
und	und	CONJ	8	10								0
diese	dies	DET	12	16								0
Flüssigkeit	Flüssigkeit	NOUN	18	28	Flüssigkeit	B-bn:00051472n	https://babelnet.org/synset?word=bn:00051472n&lang=DE&langTrans=DE	1				0
dann	dann	ADV	30	33						1		0
zum	zum	ADP	35	37								0
Erstarren	Erstarren	NOUN	39	47	Erstarren	B-bn:00036409n	https://babelnet.org/synset?word=bn:00036409n&lang=DE&langTrans=DE	1				0
zu	zu	PART	0	1								0
bringen	bringen	VERB	3	9	bringen	B-bn:00084058v	https://babelnet.org/synset?word=bn:00084058v&lang=DE&langTrans=DE		1	1		0
70	70	NUM	11	12								0
Jahre	Jahr	NOUN	14	18	Jahre	B-bn:00078738n	https://babelnet.org/synset?word=bn:00078738n&lang=DE&langTrans=DE	1				0
später	spät	ADJ	20	25	später	B-bn:00105755a	https://babelnet.org/synset?word=bn:00105755a&lang=DE&langTrans=DE		1	1		0
brachte	bringen	VERB	27	33	brachte	B-bn:00084058v	https://babelnet.org/synset?word=bn:00084058v&lang=DE&langTrans=DE	1				0
der	der	DET	35	37								0
berühmte	berühmte	ADJ	39	46	berühmte	B-bn:00099411a	https://babelnet.org/synset?word=bn:00099411a&lang=DE&langTrans=DE	1				0
französische	französische	ADJ	0	11	französische	B-bn:00103321a	https://babelnet.org/synset?word=bn:00103321a&lang=DE&langTrans=DE	1				0
Chemiker	Chemiker	NOUN	13	20	Chemiker	B-bn:00018131n	https://babelnet.org/synset?word=bn:00018131n&lang=DE&langTrans=DE	1				0
Ferchault	Ferchault	PROPN	22	30						1		0
de	de	PROPN	32	33						1		0
Réaumur	Réaumur	PROPN	35	41	Réaumur	B-bn:00842705n	https://babelnet.org/synset?word=bn:00842705n&lang=DE&langTrans=DE		1	1		0
das	der	DET	0	2								0
Problem	Problem	NOUN	4	10	Problem	B-bn:00048242n	https://babelnet.org/synset?word=bn:00048242n&lang=DE&langTrans=DE	1				0
theoretisch	theoretisch	ADJ	12	22	theoretisch	B-bn:00117258r	https://babelnet.org/synset?word=bn:00117258r&lang=DE&langTrans=DE	1				0
einen	ein	DET	24	28								0
entscheidenden	entscheidend	ADJ	30	43	entscheidenden	B-bn:00101014a	https://babelnet.org/synset?word=bn:00101014a&lang=DE&langTrans=DE					0
Schritt	schreiten	NOUN	0	6	Schritt	B-bn:00035746n	https://babelnet.org/synset?word=bn:00035746n&lang=DE&langTrans=DE		1	1		0
weiter	weit	ADV	8	13						1		0
indem	indem	SCONJ	15	19								0
er	ich	PRON	21	22								0
1734	1734	NUM	24	27								0
auf	auf	ADP	29	31								0
die	der	PRON	33	35								0
ldee	ldee	X	37	40						1		0
kam	kommen	VERB	42	44	kam	B-bn:00082788v	https://babelnet.org/synset?word=bn:00082788v&lang=DE&langTrans=DE		1	1		0
durch	durch	ADP	0	4								0
Verlestigung	Verlestigung	NOUN	6	17						1	1	1
von	von	ADP	19	21								0
Gelatinefäden	Gelatinefäden	NOUN	23	35						1		0
gomme	gomme	VERB	37	41						1		0
liquide	liquide	VERB	43	49						1		0
sollte	sollen	VERB	51	56	sollte	B-bn:13655464v	https://babelnet.org/synset?word=bn:13655464v&lang=DE&langTrans=DE	1				0
man	man	PRON	58	60								0
eine	einen	DET	62	65								0
künstliche	künstliche	ADJ	67	76						1		0
Faser	fasern	NOUN	78	82	Faser	B-bn:00034205n	https://babelnet.org/synset?word=bn:00034205n&lang=DE&langTrans=DE	1				0
erzeugen	erzeugen	VERB	84	91	erzeugen	B-bn:00084031v	https://babelnet.org/synset?word=bn:00084031v&lang=DE&langTrans=DE		1	1		0
Können	können	VERB	0	5						1	1	1
die	der	PRON	7	9								0
der	der	DET	11	13								0
Seidenfaser	Seidenfaser	NOUN	15	25						1		0
ähnlich	ähnlich	ADJ	27	33	ähnlich	B-bn:00096782a	https://babelnet.org/synset?word=bn:00096782a&lang=DE&langTrans=DE	1				0
wäre	sein	AUX	35	38								0
1846	1846	NUM	0	3								0
entdeckte	entdecken	VERB	5	13	entdeckte	B-bn:00086708v	https://babelnet.org/synset?word=bn:00086708v&lang=DE&langTrans=DE	1				0
Christian	Christian	PROPN	15	23	Christian	B-bn:00018824n	https://babelnet.org/synset?word=bn:00018824n&lang=DE&langTrans=DE	1				0
Friedrich	Friedrich	PROPN	25	33	Friedrich	I-bn:00018824n	https://babelnet.org/synset?word=bn:00018824n&lang=DE&langTrans=DE	1				0
Schönbein	Schönbein	PROPN	35	43	Schönbein	I-bn:00018824n	https://babelnet.org/synset?word=bn:00018824n&lang=DE&langTrans=DE	1				0
Professor	Professor	NOUN	45	53	Professor	B-bn:00064601n	https://babelnet.org/synset?word=bn:00064601n&lang=DE&langTrans=DE	1				0
in	in	ADP	55	56								0
Basel	Basel	PROPN	58	62	Basel	B-bn:00008093n	https://babelnet.org/synset?word=bn:00008093n&lang=DE&langTrans=DE	1				0
die	der	DET	64	66								0
Kollodiumwolle	Kollodiumwolle	NOUN	68	81	Kollodiumwolle	B-bn:05523334n	https://babelnet.org/synset?word=bn:05523334n&lang=DE&langTrans=DE	1				0
das	der	PRON	83	85								0
heißt	heißen	VERB	87	91	heißt	B-bn:13626957v	https://babelnet.org/synset?word=bn:13626957v&lang=DE&langTrans=DE	1				0
das	der	DET	93	95								0
Material	Material	NOUN	97	104	Material	B-bn:00053802n	https://babelnet.org/synset?word=bn:00053802n&lang=DE&langTrans=DE		1	1		0
das	der	PRON	106	108								0
die	der	DET	110	112								0
Grundlage	Grundlage	NOUN	114	122	Grundlage	B-bn:00036064n	https://babelnet.org/synset?word=bn:00036064n&lang=DE&langTrans=DE		1	1		0
zu	zu	ADP	124	125								0
der	der	DET	127	129								0
heutigen	heutig	ADJ	131	138	heutigen	B-bn:00100361a	https://babelnet.org/synset?word=bn:00100361a&lang=DE&langTrans=DE	1				0
Kunstscidenindustrie	Kunstscidenindustrie	NOUN	140	159						1	1	1
bieten	bieten	VERB	161	166	bieten	B-bn:00083472v	https://babelnet.org/synset?word=bn:00083472v&lang=DE&langTrans=DE		1	1		0
sollte	sollen	VERB	0	5	sollte	B-bn:13655464v	https://babelnet.org/synset?word=bn:13655464v&lang=DE&langTrans=DE		1	1		0
es	ich	PRON	7	8								0
ist	sein	AUX	10	12								0
das	der	DET	14	16								0
allohol	allohol	ADJ	18	24						1	1	1
ätherlésliche	ätherlésliche	VERB	26	38						1	1	1
Sellulosenitrat	Sellulosenitrat	NOUN	0	14						1	1	1
das	der	DET	16	18								0
unkorrekter	unkorrekt	ADJ	20	30						1	1	1
Weise	Weise	NOUN	32	36	Weise	B-bn:00033729n	https://babelnet.org/synset?word=bn:00033729n&lang=DE&langTrans=DE		1	1	1	1
auch	auch	ADV	38	41						1		0
Nitrozellulose	Nitrozellulose	PRON	0	13	Nitrozellulose	B-bn:00017060n	https://babelnet.org/synset?word=bn:00017060n&lang=DE&langTrans=DE	1				0
genannt	nennen	VERB	15	21	genannt	B-bn:00084385v	https://babelnet.org/synset?word=bn:00084385v&lang=DE&langTrans=DE	1				0
wird	werden	AUX	23	26								0
1855	1855	NUM	28	31								0
schen	schen	VERB	33	37						1	1	1
wir	ich	PRON	39	41								0
den	der	PRON	43	45								0
aus	aus	PART	47	49								0
dem	der	DET	0	2								0
Jouxtale	Jouxtale	NOUN	4	11						1		0
stammenden	stammend	ADJ	13	22						1		0
Lausanner	Lausanner	NOUN	24	32						1		0
Audemars	Audemars	PROPN	34	41						1		0
sich	sich	PRON	0	3								0
mit	mit	ADP	5	7								0
Schönbeins	Schönbeins	NOUN	9	18						1		0
Material	Material	NOUN	20	27	Material	B-bn:00053802n	https://babelnet.org/synset?word=bn:00053802n&lang=DE&langTrans=DE		1	1		0
beschäftigen	beschäftigen	VERB	29	40	beschäftigen	B-bn:00082705v	https://babelnet.org/synset?word=bn:00082705v&lang=DE&langTrans=DE		1	1		0
er	ich	PRON	42	43								0
wollte	wollen	VERB	45	50						1		0
den	der	DET	0	2								0
Bast	Bast	NOUN	4	7	Bast	B-bn:00008946n	https://babelnet.org/synset?word=bn:00008946n&lang=DE&langTrans=DE	1				0
von	von	ADP	9	11								0
Maulbeerbäumen	Maulbeerbäumen	NOUN	13	26	Maulbeerbäumen	B-bn:00056252n	https://babelnet.org/synset?word=bn:00056252n&lang=DE&langTrans=DE	1				0
nitrieren	nitrieren	VERB	28	36						1		0
und	und	CONJ	38	40								0
mit	mit	PART	42	44								0
einer	einer	DET	0	4								0
Nadel	Nadel	NOUN	6	10	Nadel	B-bn:00070770n	https://babelnet.org/synset?word=bn:00070770n&lang=DE&langTrans=DE	1				0
aus	aus	ADP	12	14								0
der	der	DET	16	18								0
honigdicken	honigdicken	ADJ	20	30						1		0
Flüssigkeit	Flüssigkeit	NOUN	32	42	Flüssigkeit	B-bn:00051472n	https://babelnet.org/synset?word=bn:00051472n&lang=DE&langTrans=DE	1				0
Fäden	Faden	NOUN	44	48	Fäden	B-bn:02452704n	https://babelnet.org/synset?word=bn:02452704n&lang=DE&langTrans=DE	1				0
zichen	zichen	VERB	0	5						1	1	1
1882	1882	NUM	7	10								0
benützte	benützen	VERB	12	19						1		0
man	man	PRON	21	23	man	B-bn:00053137n	https://babelnet.org/synset?word=bn:00053137n&lang=DE&langTrans=DE		1	1		0
die	der	DET	25	27								0
Eigenschaft	Eigenschaft	NOUN	29	39	Eigenschaft	B-bn:00064752n	https://babelnet.org/synset?word=bn:00064752n&lang=DE&langTrans=DE	1				0
der	der	DET	41	43								0
Kollodiumwolle	Kollodiumwolle	NOUN	45	58	Kollodiumwolle	B-bn:05523334n	https://babelnet.org/synset?word=bn:05523334n&lang=DE&langTrans=DE	1				0
sich	sich	PRON	60	63								0
in	in	ADP	65	66								0
dünne	dünn	ADJ	68	72	dünne	B-bn:00111742a	https://babelnet.org/synset?word=bn:00111742a&lang=DE&langTrans=DE	1				0
Fäden	Faden	NOUN	74	78	Fäden	B-bn:02452704n	https://babelnet.org/synset?word=bn:02452704n&lang=DE&langTrans=DE	1				0
ausziehen	ausziehen	VERB	80	88	ausziehen	B-bn:00086979v	https://babelnet.org/synset?word=bn:00086979v&lang=DE&langTrans=DE		1	1		0
zu	zu	PART	90	91								0
lassen	lassen	VERB	0	5	lassen	B-bn:00084198v	https://babelnet.org/synset?word=bn:00084198v&lang=DE&langTrans=DE		1	1		0
zur	zur	ADP	7	9								0
Herstellung	Herstellung	NOUN	11	21	Herstellung	B-bn:00026745n	https://babelnet.org/synset?word=bn:00026745n&lang=DE&langTrans=DE	1				0
von	von	ADP	23	25								0
relativ	relativ	ADJ	27	33						1		0
dicken	dick	ADJ	35	40	dicken	B-bn:00111824a	https://babelnet.org/synset?word=bn:00111824a&lang=DE&langTrans=DE	1				0
Fäden	Faden	NOUN	42	46	Fäden	B-bn:02452704n	https://babelnet.org/synset?word=bn:02452704n&lang=DE&langTrans=DE					0
die	der	DET	0	2								0
man	man	PRON	4	6								0
nachträglich	nachträglich	ADJ	8	19						1		0
wieder	wieder	ADV	21	26						1		0
in	in	ADP	28	29								0
Zellulose	Zellulose	PROPN	31	39	Zellulose	B-bn:00017064n	https://babelnet.org/synset?word=bn:00017064n&lang=DE&langTrans=DE		1	1		0
zurückverwandelte	zurückverwandelte	VERB	41	57						1		0
das	der	PRON	59	61								0
heißt	heißen	VERB	63	67	heißt	B-bn:13626957v	https://babelnet.org/synset?word=bn:13626957v&lang=DE&langTrans=DE		1	1		0
denitrierte	denitrierte	ADJ	69	79						1		0
Aber	aber	ADV	81	84								0
erst	erst	ADV	86	89								0
1889	1889	NUM	0	3								0
konnte	können	VERB	5	10								0
die	der	DET	12	14								0
erste	erste	ADJ	16	20						1		0
technisch	technisch	ADJ	22	30	technisch	B-bn:00111686a	https://babelnet.org/synset?word=bn:00111686a&lang=DE&langTrans=DE		1	1		0
hergestellte	hergestellt	ADJ	32	43						1		0
Kunstseide	Kunstseide	NOUN	45	54	Kunstseide	B-bn:00066318n	https://babelnet.org/synset?word=bn:00066318n&lang=DE&langTrans=DE	1				0
gezeigt	zeigen	VERB	56	62	gezeigt	B-bn:00086567v	https://babelnet.org/synset?word=bn:00086567v&lang=DE&langTrans=DE		1	1		0
verden	verden	VERB	64	69	verden	B-bn:01043592n	https://babelnet.org/synset?word=bn:01043592n&lang=DE&langTrans=DE		1		1	0
und	und	CONJ	71	73								0
zwar	zwar	ADV	75	78								0
an	an	ADP	80	81								0
der	der	DET	83	85								0
Weltausstellung	Weltausstellung	NOUN	87	101	Weltausstellung	B-bn:00032225n	https://babelnet.org/synset?word=bn:00032225n&lang=DE&langTrans=DE	1				0
von	von	ADP	103	105								0
Paris	Paris	PROPN	107	111	Paris	B-bn:00015540n	https://babelnet.org/synset?word=bn:00015540n&lang=DE&langTrans=DE	1				0
wo	wo	ADV	113	114								0
ein	einen	DET	116	118								0
Apparat	Apparat	NOUN	120	126	Apparat	B-bn:03158839n	https://babelnet.org/synset?word=bn:03158839n&lang=DE&langTrans=DE		1	1		0
eine	einen	DET	0	3								0
bierfarbene	bierfarbene	ADJ	5	15						1		0
Flüssigkeit	Flüssigkeit	NOUN	17	27	Flüssigkeit	B-bn:00051491n	https://babelnet.org/synset?word=bn:00051491n&lang=DE&langTrans=DE	1				0
durch	durch	ADP	29	33								0
Glasröhrchen	Glasröhrchen	NOUN	35	46						1		0
drückte	drücken	VERB	0	6	drückte	B-bn:00091986v	https://babelnet.org/synset?word=bn:00091986v&lang=DE&langTrans=DE	1				0
die	der	DET	8	10								0
zu	zu	ADP	12	13								0
glänzenden	glänzend	ADJ	15	24	glänzenden	B-bn:00103623a	https://babelnet.org/synset?word=bn:00103623a&lang=DE&langTrans=DE	1				0
Fäden	Faden	NOUN	26	30	Fäden	B-bn:02452704n	https://babelnet.org/synset?word=bn:02452704n&lang=DE&langTrans=DE	1				0
Koagulierte	Koagulierte	NOUN	32	42						1	1	1
Der	der	DET	44	46								0
weißbärtige	weißbärtige	ADJ	0	10						1		0
Erfinder	Erfinder	NOUN	12	19	Erfinder	B-bn:00021551n	https://babelnet.org/synset?word=bn:00021551n&lang=DE&langTrans=DE		1	1		0
Graf	Graf	PROPN	21	24						1		0
Hilaire	Hilaire	PROPN	26	32	Hilaire	B-bn:00932715n	https://babelnet.org/synset?word=bn:00932715n&lang=DE&langTrans=DE	1				0
de	de	PROPN	34	35	de	I-bn:00932715n	https://babelnet.org/synset?word=bn:00932715n&lang=DE&langTrans=DE	1				0
Chardonnet	Chardonnet	PROPN	37	46	Chardonnet	I-bn:00932715n	https://babelnet.org/synset?word=bn:00932715n&lang=DE&langTrans=DE	1				0
mußte	müssen	VERB	48	52						1		0
aber	aber	ADV	54	57								0
zugeben	zugeben	VERB	59	65	zugeben	B-bn:00082267v	https://babelnet.org/synset?word=bn:00082267v&lang=DE&langTrans=DE	1				0
daß	daß	SCONJ	67	69								0
die	der	DET	71	73								0
Sache	Sache	NOUN	75	79	Sache	B-bn:00001734n	https://babelnet.org/synset?word=bn:00001734n&lang=DE&langTrans=DE	1				0
noch	noch	ADV	81	84								0
nicht	nicht	PART	0	4						1		0
fabrikationsreif	fabrikationsreif	ADJ	6	21								0
war	sein	AUX	23	25								0
sein	mein	DET	27	30								0
Material	Material	NOUN	32	39	Material	B-bn:00053802n	https://babelnet.org/synset?word=bn:00053802n&lang=DE&langTrans=DE		1	1		0
bestand	bestand	VERB	41	47	bestand	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=DE&langTrans=DE	1				0
aus	aus	ADP	0	2						1		0
unveränderter	unverändert	ADJ	4	16	unveränderter							0
äußerst	äußern	ADV	18	24	äußerst	B-bn:00102658a	https://babelnet.org/synset?word=bn:00102658a&lang=DE&langTrans=DE	1				0
feuergefährlicher	feuergefährlicher	ADJ	26	42						1		0
Schießbaumwolle	Schießbaumwolle	NOUN	44	58	Schießbaumwolle	B-bn:00017060n	https://babelnet.org/synset?word=bn:00017060n&lang=DE&langTrans=DE	1				0
wie	wie	CONJ	60	62								0
sie	ich	PRON	64	66								0
heute	heute	ADV	68	72	heute	B-bn:00117315r	https://babelnet.org/synset?word=bn:00117315r&lang=DE&langTrans=DE		1	1		0
nur	nur	ADV	74	76								0
noch	noch	ADV	78	81								0
zur	zur	ADP	83	85								0
Herstellung	Herstellung	NOUN	87	97	Herstellung	B-bn:00032594n	https://babelnet.org/synset?word=bn:00032594n&lang=DE&langTrans=DE		1	1		0
von	von	ADP	0	2								0
verbrennbaren	verbrennbaren	ADJ	4	16						1		0
Pulversäcken	Pulversäcken	NOUN	18	29						1		0
für	für	ADP	31	33								0
schwere	schwer	ADJ	35	41	schwere	B-bn:00104050a	https://babelnet.org/synset?word=bn:00104050a&lang=DE&langTrans=DE	1				0
Geschütze	Geschütze	NOUN	43	51	Geschütze	B-bn:17357896n	https://babelnet.org/synset?word=bn:17357896n&lang=DE&langTrans=DE	1				0
verwendet	verwenden	VERB	53	61	verwendet	B-bn:00082705v	https://babelnet.org/synset?word=bn:00082705v&lang=DE&langTrans=DE	1				0
wird	werden	AUX	63	66								0
Bald	Bald	ADV	68	71								0
darauf	darauf	ADV	73	78	darauf	B-bn:13667380r	https://babelnet.org/synset?word=bn:13667380r&lang=DE&langTrans=DE	1				0
erland	erland	VERB	80	85						1	1	1
jedoch	jedoch	ADV	87	92	jedoch	B-bn:00114216r	https://babelnet.org/synset?word=bn:00114216r&lang=DE&langTrans=DE					0
Chardonnet	Chardonnet	VERB	0	9						1		0
ein	einen	DET	11	13								0
einsache	einsache	ADJ	15	22						1	1	1
und	und	CONJ	24	26								0
billige	billig	ADJ	28	34	billige	B-bn:00099557a	https://babelnet.org/synset?word=bn:00099557a&lang=DE&langTrans=DE	1				0
Methode	Methode	NOUN	36	42	Methode	B-bn:00054625n	https://babelnet.org/synset?word=bn:00054625n&lang=DE&langTrans=DE		1	1		0
um	um	PART	44	45								0
die	der	DET	0	2								0
Nitrokunstseide	Nitrokunstseide	NOUN	4	18						1		0
zu	zu	PART	20	21								0
denitrieren	denitrieren	VERB	23	33	denitrieren	B-bn:00086584v	https://babelnet.org/synset?word=bn:00086584v&lang=DE&langTrans=DE	1				0
s0daß	s0daß	PROPN	35	39						1	1	1
die	der	DET	41	43								0
Chardonnetscide	Chardonnetscide	PROPN	45	59						1	1	1
als	als	ADP	61	63								0
schönes	schön	ADJ	65	71						1		0
und	und	CONJ	73	75								0
völlig	völlig	ADJ	77	82						1		0
gefahrloses	gefahrlos	ADJ	84	94	gefahrloses	B-bn:13780377a	https://babelnet.org/synset?word=bn:13780377a&lang=DE&langTrans=DE	1				0
Material	Material	NOUN	96	103	Material	B-bn:00053802n	https://babelnet.org/synset?word=bn:00053802n&lang=DE&langTrans=DE		1	1		0
auf	auf	ADP	105	107								0
den	der	DET	109	111								0
Markt	Markt	NOUN	113	117	Markt	B-bn:00053458n	https://babelnet.org/synset?word=bn:00053458n&lang=DE&langTrans=DE	1				0
kam	kommen	VERB	119	121	kam	B-bn:00082788v	https://babelnet.org/synset?word=bn:00082788v&lang=DE&langTrans=DE	1				0
1896	1896	NUM	123	126								0
wurde	werden	AUX	128	132								0
eine	einen	DET	0	3						1	1	1
Versuchslabrik	Versuchslabrik	NOUN	5	18								0
in	in	ADP	20	21								0
Besançon	Besançon	NOUN	23	30						1		0
gegründet	gründen	VERB	32	40	gegründet	B-bn:00087732v	https://babelnet.org/synset?word=bn:00087732v&lang=DE&langTrans=DE	1				0
an	an	ADP	42	43								0
der	der	DET	45	47								0
Chardonnet	Chardonnet	VERB	0	9						1		0
sein	mein	DET	11	14								0
